PING 192.168.0.1 56 bytes of data
56 bytes from 192.168.0.1: icmp_seq=0 time=9.0 ms
56 bytes from 192.168.0.1: icmp_seq=1 time=9.0 ms
56 bytes from 192.168.0.1: icmp_seq=2 time=8.0 ms
56 bytes from 192.168.0.1: icmp_seq=3 time=9.0 ms
56 bytes from 192.168.0.1: icmp_seq=4 time=71.0 ms
56 bytes from 192.168.0.1: icmp_seq=5 time=5.0 ms
56 bytes from 192.168.0.1: icmp_seq=6 time=4.0 ms
56 bytes from 192.168.0.1: icmp_seq=7 time=5.0 ms
56 bytes from 192.168.0.1: icmp_seq=8 time=8.0 ms
56 bytes from 192.168.0.1: icmp_seq=9 time=11.0 ms
56 bytes from 192.168.0.1: icmp_seq=10 time=5.0 ms
56 bytes from 192.168.0.1: icmp_seq=11 time=9.0 ms
56 bytes from 192.168.0.1: icmp_seq=12 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=13 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=14 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=15 time=7.0 ms
56 bytes from 192.168.0.1: icmp_seq=16 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=17 time=8.0 ms
56 bytes from 192.168.0.1: icmp_seq=18 time=12.0 ms
56 bytes from 192.168.0.1: icmp_seq=19 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=20 time=11.0 ms
56 bytes from 192.168.0.1: icmp_seq=21 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=22 time=15.0 ms
56 bytes from 192.168.0.1: icmp_seq=23 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=24 time=7.0 ms
56 bytes from 192.168.0.1: icmp_seq=25 time=7.0 ms
56 bytes from 192.168.0.1: icmp_seq=26 time=7.0 ms
56 bytes from 192.168.0.1: icmp_seq=27 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=28 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=29 time=9.0 ms
56 bytes from 192.168.0.1: icmp_seq=30 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=31 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=32 time=8.0 ms
56 bytes from 192.168.0.1: icmp_seq=33 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=34 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=35 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=36 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=37 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=38 time=12.0 ms
56 bytes from 192.168.0.1: icmp_seq=39 time=8.0 ms
56 bytes from 192.168.0.1: icmp_seq=40 time=7.0 ms
56 bytes from 192.168.0.1: icmp_seq=41 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=42 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=43 time=7.0 ms
56 bytes from 192.168.0.1: icmp_seq=44 time=7.0 ms
56 bytes from 192.168.0.1: icmp_seq=45 time=7.0 ms
56 bytes from 192.168.0.1: icmp_seq=46 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=47 time=9.0 ms
56 bytes from 192.168.0.1: icmp_seq=48 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=49 time=10.0 ms
56 bytes from 192.168.0.1: icmp_seq=50 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=51 time=9.0 ms
56 bytes from 192.168.0.1: icmp_seq=52 time=6.0 ms
56 bytes from 192.168.0.1: icmp_seq=53 time=7.0 ms
56 bytes from 192.168.0.1: icmp_seq=54 time=6.0 ms
55 packets transmitted, 55 received, 0% packet loss, time 55055 ms
rtt min/avg/max/mdev = 4.000/8.454/71.000/8.751 ms
