PING 192.168.0.1 56 bytes of data
56 bytes from 192.168.0.1: icmp_seq=0 time=5.0 ms
56 bytes from 192.168.0.1: icmp_seq=1 time=5.0 ms
56 bytes from 192.168.0.1: icmp_seq=2 time=16.0 ms
56 bytes from 192.168.0.1: icmp_seq=3 time=5.0 ms
56 bytes from 192.168.0.1: icmp_seq=4 time=11.0 ms
56 bytes from 192.168.0.1: icmp_seq=5 time=4.0 ms
56 bytes from 192.168.0.1: icmp_seq=6 time=5.0 ms
56 bytes from 192.168.0.1: icmp_seq=7 time=5.0 ms
56 bytes from 192.168.0.1: icmp_seq=8 time=5.0 ms
56 bytes from 192.168.0.1: icmp_seq=9 time=5.0 ms
56 bytes from 192.168.0.1: icmp_seq=10 time=5.0 ms
56 bytes from 192.168.0.1: icmp_seq=11 time=6.0 ms
WARNING: Received after timeout
56 bytes from 192.168.0.1: icmp_seq=12 time=5.0 ms
56 bytes from 192.168.0.1: icmp_seq=13 time=16.0 ms
56 bytes from 192.168.0.1: icmp_seq=14 time=7.0 ms
56 bytes from 192.168.0.1: icmp_seq=15 time=17.0 ms
56 bytes from 192.168.0.1: icmp_seq=16 time=28.0 ms
56 bytes from 192.168.0.1: icmp_seq=17 time=91.0 ms
No response from 192.168.0.1: icmp_seq=18 time=1000 ms
No response from 192.168.0.1: icmp_seq=19 time=1000 ms
No response from 192.168.0.1: icmp_seq=20 time=1000 ms
No response from 192.168.0.1: icmp_seq=21 time=1000 ms
No response from 192.168.0.1: icmp_seq=22 time=1000 ms
No response from 192.168.0.1: icmp_seq=23 time=1000 ms
No response from 192.168.0.1: icmp_seq=24 time=1000 ms
No response from 192.168.0.1: icmp_seq=25 time=1000 ms
No response from 192.168.0.1: icmp_seq=26 time=1000 ms
No response from 192.168.0.1: icmp_seq=27 time=1000 ms
No response from 192.168.0.1: icmp_seq=28 time=1000 ms
56 bytes from 192.168.0.1: icmp_seq=29 time=125.0 ms
56 bytes from 192.168.0.1: icmp_seq=30 time=25.0 ms
56 bytes from 192.168.0.1: icmp_seq=31 time=56.0 ms
No response from 192.168.0.1: icmp_seq=32 time=1000 ms
ERROR: sendto failed at seqno 33: 101
ERROR: sendto failed at seqno 34: 101
ERROR: sendto failed at seqno 35: 101
ERROR: sendto failed at seqno 36: 101
ERROR: sendto failed at seqno 37: 101
ERROR: sendto failed at seqno 38: 101
ERROR: sendto failed at seqno 39: 101
ERROR: sendto failed at seqno 40: 101
ERROR: sendto failed at seqno 41: 101
ERROR: sendto failed at seqno 42: 101
ERROR: sendto failed at seqno 43: 101
ERROR: sendto failed at seqno 44: 101
ERROR: sendto failed at seqno 45: 101
ERROR: sendto failed at seqno 46: 101
ERROR: sendto failed at seqno 47: 101
ERROR: sendto failed at seqno 48: 101
ERROR: sendto failed at seqno 49: 101
ERROR: sendto failed at seqno 50: 101
ERROR: sendto failed at seqno 51: 101
ERROR: sendto failed at seqno 52: 101
ERROR: sendto failed at seqno 53: 101
ERROR: sendto failed at seqno 54: 101
ERROR: sendto failed at seqno 55: 101
ERROR: sendto failed at seqno 56: 101
ERROR: sendto failed at seqno 57: 101
ERROR: sendto failed at seqno 58: 101
ERROR: sendto failed at seqno 59: 101
ERROR: sendto failed at seqno 60: 101
ERROR: sendto failed at seqno 61: 101
ERROR: sendto failed at seqno 62: 101
ERROR: sendto failed at seqno 63: 101
ERROR: sendto failed at seqno 64: 101
ERROR: sendto failed at seqno 65: 101
ERROR: sendto failed at seqno 66: 101
ERROR: sendto failed at seqno 67: 101
ERROR: sendto failed at seqno 68: 101
ERROR: sendto failed at seqno 69: 101
ERROR: sendto failed at seqno 70: 101
ERROR: sendto failed at seqno 71: 101
ERROR: sendto failed at seqno 72: 101
ERROR: sendto failed at seqno 73: 101
ERROR: sendto failed at seqno 74: 101
ERROR: sendto failed at seqno 75: 101
ERROR: sendto failed at seqno 76: 101
ERROR: sendto failed at seqno 77: 101
ERROR: sendto failed at seqno 78: 101
ERROR: sendto failed at seqno 79: 101
80 packets transmitted, 21 received, 74% packet loss, time 99807 ms
rtt min/avg/max/mdev = 4.000/21.285/125.000/31.003 ms
