PING 169.254.40.175 56 bytes of data
56 bytes from 169.254.40.175: icmp_seq=0 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=1 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=2 time=5.0 ms
56 bytes from 169.254.40.175: icmp_seq=3 time=5.0 ms
56 bytes from 169.254.40.175: icmp_seq=4 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=5 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=6 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=7 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=8 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=9 time=5.0 ms
56 bytes from 169.254.40.175: icmp_seq=10 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=11 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=12 time=12.0 ms
56 bytes from 169.254.40.175: icmp_seq=13 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=14 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=15 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=16 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=17 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=18 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=19 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=20 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=21 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=22 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=23 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=24 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=25 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=26 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=27 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=28 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=29 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=30 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=31 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=32 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=33 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=34 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=35 time=5.0 ms
56 bytes from 169.254.40.175: icmp_seq=36 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=37 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=38 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=39 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=40 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=41 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=42 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=43 time=5.0 ms
56 bytes from 169.254.40.175: icmp_seq=44 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=45 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=46 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=47 time=25.0 ms
56 bytes from 169.254.40.175: icmp_seq=48 time=26.0 ms
56 bytes from 169.254.40.175: icmp_seq=49 time=106.0 ms
56 bytes from 169.254.40.175: icmp_seq=50 time=129.0 ms
56 bytes from 169.254.40.175: icmp_seq=51 time=152.0 ms
56 bytes from 169.254.40.175: icmp_seq=52 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=53 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=54 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=55 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=56 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=57 time=5.0 ms
56 bytes from 169.254.40.175: icmp_seq=58 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=59 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=60 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=61 time=5.0 ms
56 bytes from 169.254.40.175: icmp_seq=62 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=63 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=64 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=65 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=66 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=67 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=68 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=69 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=70 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=71 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=72 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=73 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=74 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=75 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=76 time=5.0 ms
56 bytes from 169.254.40.175: icmp_seq=77 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=78 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=79 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=80 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=81 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=82 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=83 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=84 time=5.0 ms
56 bytes from 169.254.40.175: icmp_seq=85 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=86 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=87 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=88 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=89 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=90 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=91 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=92 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=93 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=94 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=95 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=96 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=97 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=98 time=4.0 ms
56 bytes from 169.254.40.175: icmp_seq=99 time=3.0 ms
100 packets transmitted, 100 received, 0% packet loss, time 100100 ms
rtt min/avg/max/mdev = 3.000/8.340/152.000/21.690 ms
